class_prefix,class_number,section_number,professor,date_accessed,class_name,credit_hours,term_year,syllabus_url,start_date,end_date,meeting_info,location,class_features,other_links,corequisites
ACCT,2301,26,"Story, Barbara",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=142252,"Aug 24, 2026","Dec 10, 2026",M121 In-Person Lecture M W 11:00 AM - 12:20 PM,BHC,eCampus,Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=606&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=26) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,31,"Hurse, Laportia",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=142256,"Aug 24, 2026","Dec 10, 2026",M115C In-Person Lecture M W 11:00 AM - 12:20 PM,BHC,eCampus,Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=606&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=31) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,1,"Hurse, Laportia",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=136250,"Aug 24, 2026","Oct 15, 2026",M121 Blended Lecture M W 12:30 PM - 01:50 PM,BHC,eCampus | Fall First 8 Week Session (https://schedule.dallascollege.edu/FALL2026/Topic/Fall-8Wk1),Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=606&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=1) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,25,"Story, Barbara",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=142251,"Aug 24, 2026","Dec 10, 2026",M122 In-Person Lecture T R 11:00 AM - 12:20 PM,BHC,eCampus,Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=606&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=25) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,50,"Richard, Tara",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=142270,"Aug 24, 2026","Dec 10, 2026",B226 In-Person Lecture M W 09:30 AM - 10:50 AM,CVC,eCampus,Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=607&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=50) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,72,"GEBHART, KELLY",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=140801,"Aug 24, 2026","Dec 10, 2026",B125 In-Person Lecture T R 09:30 AM - 10:50 AM,CVC,eCampus,Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=607&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=72) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,33,"Richard, Tara",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=142257,"Aug 24, 2026","Dec 10, 2026",B226 In-Person Lecture M 06:00 PM - 08:50 PM,CVC,eCampus | Night Classes (https://schedule.dallascollege.edu/FALL2026/Topic/Night),Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=607&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=33) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,51,"Zeledon Chaves, Gilberto",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=142271,"Aug 24, 2026","Dec 10, 2026",N222 In-Person Lecture M W 09:30 AM - 10:50 AM,EFC,eCampus,Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=608&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=51) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,2,"Brown, Regina",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=136251,"Aug 24, 2026","Oct 15, 2026",B3032 Blended Lecture M W 11:00 AM - 12:20 PM,EFC,eCampus | Fall First 8 Week Session (https://schedule.dallascollege.edu/FALL2026/Topic/Fall-8Wk1),Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=608&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=2) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
ACCT,2301,20,"Brown, Regina",2026-08-12T01:30:58Z,Prin of Financial Accounting,3,Fall 2026,https://dallascollege.campusconcourse.com/view_syllabus?course_id=137690,"Oct 19, 2026","Dec 10, 2026",L304B Blended Lecture M W 11:00 AM - 12:20 PM,EFC,eCampus | Fall Second 8 Week Session (https://schedule.dallascollege.edu/FALL2026/Topic/Fall-8Wk2),Course Materials: Lecture (https://www.bkstr.com/webApp/discoverShop?merfnbr=608&termDir=2026FA&division1=&department1=ACCT&course1=2301&section1=20) | IncludEd Info (https://www.dallascollege.edu/resources/books/included/),none
